L     1/L      Jc-Cv       Jc-chi      J-P(S)
20    0.05     0.2235       0.222      0.2195
40    0.025    0.2225       0.2215     0.2210
50    0.02     0.2222       0.2218     0.2212
1000  0.        0.22          0.22       0.2215

